"bill_id","sponsor_party","session","num_cosponsors","num_d_cosponsors","num_r_cosponsors","title_word_count","originating_committee","day.of.week.introduced","num_amendments","status","is_sponsor_in_leadership","num_originating_committee_cosponsors","num_originating_committee_cosponsors_r","num_originating_committee_cosponsors_d"
"109","HB-420-2009-2010","Republican","2009-2010",36,7,29,17,"PAC000019",5,0,"committee:referred",0,4,4,0
"110","HB-807-2009-2010","Republican","2009-2010",22,3,19,27,"PAC000016",1,0,"committee:referred",0,2,2,0
"111","HB-836-2009-2010","Democratic","2009-2010",20,17,3,18,"PAC000010",2,0,"committee:referred",0,0,0,0
"112","HB-1865-2009-2010","Democratic","2009-2010",44,35,9,22,"PAC000129",4,1,"committee:referred",0,4,1,3
"113","HB-1839-2009-2010","","2009-2010",50,14,36,31,"PAC000016",3,0,"committee:referred",0,3,2,1
"114","HB-1368-2009-2010","Republican","2009-2010",15,5,10,13,"PAC000012",2,0,"committee:referred",0,0,0,0
"115","HB-1891-2009-2010","Democratic","2009-2010",12,8,4,34,"PAC000017",5,0,"committee:referred",0,1,1,0
"116","HB-154-2009-2010","Democratic","2009-2010",29,17,12,30,"PAC000001",5,1,"committee:referred",0,1,1,0
"117","HB-2179-2009-2010","Republican","2009-2010",43,1,42,19,"PAC000129",2,0,"committee:referred",0,6,6,0
"118","HB-1333-2009-2010","Republican","2009-2010",37,18,19,23,"",3,0,"committee:referred",0,0,0,0
"119","HB-2603-2009-2010","Democratic","2009-2010",6,5,1,36,"PAC000017",3,1,"committee:referred",0,0,0,0
"120","HB-91-2009-2010","Democratic","2009-2010",23,21,2,36,"PAC000244",3,0,"committee:referred",0,0,0,0
"121","HB-52-2009-2010","Republican","2009-2010",28,0,28,38,"",2,0,"committee:referred",0,0,0,0
"122","HB-1149-2009-2010","Republican","2009-2010",34,1,33,30,"",2,0,"committee:referred",0,0,0,0
"123","HB-659-2009-2010","Republican","2009-2010",19,3,16,17,"PAC000019",5,0,"committee:referred",0,1,1,0
"124","HB-2166-2009-2010","Republican","2009-2010",63,22,41,26,"PAC000005",1,0,"committee:referred",0,5,4,1
"125","HB-719-2009-2010","Republican","2009-2010",49,20,29,28,"PAC000215",3,0,"committee:referred",0,8,6,2
"126","HB-1782-2009-2010","Democratic","2009-2010",21,14,7,46,"PAC000004",4,0,"committee:referred",0,0,0,0
"127","HB-787-2009-2010","Republican","2009-2010",33,1,32,21,"",5,0,"committee:referred",0,0,0,0
"128","HB-2687-2009-2010","Democratic","2009-2010",6,4,2,20,"PAC000001",5,0,"committee:referred",0,1,0,1
"129","HB-1982-2009-2010","Republican","2009-2010",48,15,33,17,"PAC000004",1,0,"committee:referred",0,3,2,1
"130","HB-130-2009-2010","Republican","2009-2010",5,1,4,26,"PAC000016",5,0,"committee:referred",0,0,0,0
"131","HB-42-2009-2010","Democratic","2009-2010",76,44,32,24,"PAC000007",1,2,"committee:referred",0,3,2,1
"132","HB-1724-2009-2010","Democratic","2009-2010",27,24,3,27,"PAC000001",2,0,"committee:referred",0,0,0,0
"133","HB-393-2009-2010","Democratic","2009-2010",9,6,3,18,"PAC000004",5,0,"committee:referred",0,0,0,0
"134","HB-1325-2009-2010","Democratic","2009-2010",13,10,3,15,"PAC000019",3,0,"committee:referred",0,3,1,2
"135","HB-1806-2009-2010","Republican","2009-2010",41,5,36,64,"PAC000004",2,0,"committee:referred",0,4,3,1
"136","HB-240-2009-2010","Democratic","2009-2010",38,29,9,34,"PAC000017",3,0,"committee:referred",0,1,0,1
"137","HB-196-2009-2010","Republican","2009-2010",54,12,42,27,"PAC000004",1,0,"governor:signed",0,5,4,1
