"county","state","total_votes_12","dem12_frac","rep12_frac","total_population","registered_voters","reg_vote_frac","turnout","hs_diploma_degree","median_income","poverty_frac","caucasian_frac","gini_coefficient","median_age","adult_smoking","uninsured","unemployment","violent_crime","homicide_rate","infant_mortality","african_american_frac","latino_frac","bachelors_degree","graduate_degree","competitive_state_08","margin_state_08"
"Adams","Pennsylvania",42457,0.355441976588077,0.630449631391761,101209,61156,0.604254562341294,0.694240957551181,0.847,"High",0.073,0.907,0.388,40.2,0.21,0.125,0.066,150.51,1.71,8.6,0.015,0.058,0.185,0.073,FALSE,0.103392579965457
"Allegheny","Pennsylvania",622081,0.566947069593831,0.421229711243391,1222910.5,924351,0.755861528705494,0.672992185868788,0.916,"High",0.1245,0.814,0.483,41.1,0.192,0.103,0.069,442.47,7.63,7.6,0.128,0.015,0.341,0.136,FALSE,0.103392579965457
"Armstrong","Pennsylvania",29602,0.305553678805486,0.680426998175799,68873.5,42147,0.611947991607803,0.702351294279545,0.877,"Medium",0.1165,0.977,0.404,43.8,0.238,0.121,0.085,129.96,2.25,6.8,0.0085,0.0055,0.139,0.04,FALSE,0.103392579965457
"Beaver","Pennsylvania",80474,0.460459278773268,0.526182369460944,171908,115157,0.669875747492845,0.698819872000834,0.896,"High",0.1085,0.9085,0.418,43.8,0.187,0.109,0.073,299.62,4.22,6.3,0.0595,0.011,0.192,0.062,FALSE,0.103392579965457
"Bedford","Pennsylvania",21697,0.220675669447389,0.769783841084021,49705,32189,0.647600844985414,0.674050141352636,0.839,"Medium",0.1385,0.976,0.408,42.9,0.229,0.143,0.093,102.34,3.544,6.6,0.0045,0.0085,0.125,0.038,FALSE,0.103392579965457
"Berks","Pennsylvania",170320,0.487382573978394,0.497310944105214,406465,250356,0.615934951348825,0.680311236798798,0.831,"High",0.121,0.784,0.421,38.9,0.183,0.127,0.08,320.4,3.79,6.8,0.0395,0.1505,0.217,0.073,FALSE,0.103392579965457
"Blair","Pennsylvania",50241,0.323958519933918,0.663183455743317,126536.5,85328,0.674335073279251,0.588798518657416,0.897,"Medium",0.1305,0.96,0.443,41.7,0.232,0.112,0.072,262.61,2.92,6.2,0.015,0.0085,0.173,0.051,FALSE,0.103392579965457
"Bradford","Pennsylvania",23426,0.368137966362162,0.615128489712286,61998.5,40490,0.653080316459269,0.578562608051371,0.854,"Medium",0.1425,0.9685,0.421,42.6,0.214,0.134,0.065,148.6,2.29,8.1,0.0045,0.0095,0.157,0.051,FALSE,0.103392579965457
"Bucks","Pennsylvania",321016,0.500040496423854,0.487760734667431,623245,435606,0.698932201622155,0.736941180791816,0.919,"High",0.049,0.8775,0.425,41,0.164,0.087,0.074,120.17,1.61,5.3,0.035,0.0385,0.345,0.134,FALSE,0.103392579965457
"Butler","Pennsylvania",89445,0.319190564033764,0.668131253843144,183190.5,122762,0.670133003621913,0.728604942897639,0.919,"High",0.083,0.962,0.425,40.7,0.176,0.096,0.065,148.02,1.57,5.5,0.01,0.01,0.288,0.094,FALSE,0.103392579965457
"Cambria","Pennsylvania",60526,0.400637742457787,0.580956944123187,144449,86988,0.602205622745744,0.695797121442038,0.876,"Medium",0.1395,0.937,0.424,43.3,0.199,0.112,0.088,221.87,2.36,6.5,0.0335,0.013,0.175,0.065,FALSE,0.103392579965457
"Cameron","Pennsylvania",2111,0.342965419232591,0.643770724774988,5209.5,3651,0.700835012957098,0.578197754039989,0.852,"Medium",0.1195,0.979,0.378,46.9,0.385,0.124,0.116,136.41,12.176,14.86,0.0015,0.0055,0.149,0.039,FALSE,0.103392579965457
"Carbon","Pennsylvania",25581,0.452679723232086,0.527891794691372,64052.5,39017,0.609140939073416,0.655637286311095,0.867,"High",0.1,0.941,0.388,43.1,0.299,0.124,0.099,310.5,2.24,6.3,0.014,0.03,0.146,0.053,FALSE,0.103392579965457
"Centre","Pennsylvania",69626,0.490851118834918,0.488337689943412,149148,112949,0.757294767613377,0.616437507193512,0.926,"Low",0.185,0.884,0.467,28.4,0.122,0.118,0.059,113.06,1.312,6.5,0.029,0.0235,0.4,0.192,FALSE,0.103392579965457
"Chester","Pennsylvania",251973,0.493350478027408,0.495449909315681,492593.5,337822,0.685802796829434,0.745875046622186,0.925,"High",0.062,0.8325,0.447,38.8,0.128,0.095,0.061,167.33,1.65,5.8,0.06,0.0575,0.478,0.183,FALSE,0.103392579965457
"Clarion","Pennsylvania",16186,0.3123687137032,0.66897318670456,39922.5,24120,0.604170580499718,0.67106135986733,0.872,"Low",0.15,0.97,0.43,39.2,0.177,0.135,0.09,158.47,2.362,6.58,0.011,0.0055,0.172,0.063,FALSE,0.103392579965457
"Clearfield","Pennsylvania",31967,0.347890011574436,0.636500140770169,82062,51174,0.623601667032244,0.624672685348028,0.86,"High",0.1475,0.949,0.422,42,0.186,0.127,0.088,239.55,2.966,8.5,0.0235,0.016,0.123,0.038,FALSE,0.103392579965457
"Clinton","Pennsylvania",13265,0.432265359969845,0.550546551074256,38150.5,22969,0.602062882531028,0.57751752361879,0.856,"Low",0.144,0.9575,0.404,38.8,0.249,0.138,0.084,248.19,5.838,6.64,0.0165,0.0105,0.167,0.056,FALSE,0.103392579965457
"Columbia","Pennsylvania",25623,0.426843070678687,0.555594582991843,66066,39888,0.603759876487149,0.642373646209386,0.867,"Low",0.133,0.9505,0.447,39.2,0.231,0.119,0.081,154.84,1.918,5.6,0.014,0.0185,0.183,0.066,FALSE,0.103392579965457
"Crawford","Pennsylvania",35388,0.392308127048717,0.590623940318752,88787.5,54711,0.616201604955653,0.646816910676098,0.858,"Low",0.152,0.957,0.426,41,0.197,0.148,0.077,77.37,4,7.2,0.0175,0.009,0.183,0.067,FALSE,0.103392579965457
"Cumberland","Pennsylvania",110814,0.400373599003736,0.584844875196275,231632,158194,0.682953995993645,0.70049432974702,0.904,"High",0.0645,0.904,0.409,39.9,0.149,0.097,0.066,110.2,1,6.6,0.0295,0.024,0.323,0.12,FALSE,0.103392579965457
"Dauphin","Pennsylvania",124008,0.523877491774724,0.4632765628024,262250,178924,0.682265014299333,0.693076389975632,0.885,"High",0.1165,0.7155,0.427,39.1,0.189,0.117,0.077,511.83,5.77,7.6,0.1685,0.0635,0.271,0.101,FALSE,0.103392579965457
"Delaware","Pennsylvania",285564,0.601588435517082,0.38818968777577,556998.5,397338,0.713355601496234,0.718692901257871,0.905,"High",0.094,0.728,0.461,38.5,0.204,0.102,0.081,541.63,7.49,7.8,0.1855,0.0265,0.347,0.145,FALSE,0.103392579965457
"Elk","Pennsylvania",13238,0.412675630759934,0.572518507327391,32270,20302,0.629129222187791,0.652053984829081,0.898,"High",0.1055,0.982,0.387,43.8,0.293,0.113,0.068,107.24,4.836,8.8,0.0025,0.006,0.162,0.049,FALSE,0.103392579965457
"Erie","Pennsylvania",118619,0.573567472327367,0.41329803825694,280143.5,176851,0.631287179606166,0.670728466336068,0.89,"Medium",0.1535,0.8755,0.44,38.4,0.252,0.125,0.078,256.25,2.46,8.4,0.065,0.031,0.233,0.087,FALSE,0.103392579965457
"Fayette","Pennsylvania",48505,0.452963611998763,0.536398309452634,140265.5,91681,0.653624733095451,0.529062728373382,0.829,"Medium",0.19,0.935,0.434,42.9,0.247,0.133,0.093,218.5,3.37,7.8,0.041,0.0065,0.139,0.046,FALSE,0.103392579965457
