"Country","Continent","LE","Year","Population","Urban.pop","GDP","Household.consump","Unemployment","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"Malta","Europe",80.24,2009,1288.99,94.49,19636.01,8.55695222118959,6.9,1.09,0.02,100,96.75,5.41,73,100,82,32.52,58.38,99.81,58.86
"Portugal","Europe",78.73,2009,115.39,59.96,23063.97,11.9684195251887,9.5,35.49,0.11,99.5,102.52,7.19,96,98.7,95,25.88,40.91,111.48,48.27
"Portugal","Europe",77.22,2003,114.3,56.29,15772.73,11.5531661385562,6.3,36.23,0.15,98.5,94.03,6.69,99,97.1,96,23.36,41.01,95.82,29.67
"Bahrain","Asia",75.66,2006,1271.36,88.42,19669.32,8.76812932593086,4.1,0.62,0,100,118.48,2.48,98,99.2,99,20.83,20.42,95.42,28.24
"Suriname","South America",68.01,2001,3.1,66.52,1576.72,6.28226674689601,6.2,98.63,0.12,89.8,105.49,4.2,68,80.8,82,26.7,16.35,18.38,3.06
"Liberia","Africa",58.86,2009,39.68,47.44,302.28,7.57528717141753,4.6,45.26,0.12,70.3,115.37,3.34,81,15.3,83,21.8,0.06,28.39,2
"Benin","Africa",57.87,2007,77.22,40.7,685.55,8.39711828142113,1.1,41.78,0.29,72,99.38,2.31,82,15.6,70,46.17,1.27,23.56,1.79
"Angola","Africa",49.01,2006,14.87,36.94,2825.07,9.63004232028636,6.8,47.31,0.18,46.2,104.66,3.02,44,40.4,48,22.72,0.57,17.84,1.91
"Canada","North America",80.64,2006,3.58,80.21,40243.55,13.4718040026474,6.3,38.22,1.39,99.8,100.71,6.78,95,99.8,93,14.97,55.92,57.49,72.4
"Luxembourg","Europe",79.12,2004,176.87,86.18,74970.92,9.46519807100811,5.1,33.47,0.14,100,99.68,6.96,99,97.7,95,11.64,54.26,104.09,65.88
"Portugal","Europe",78.52,2008,115.43,59.36,24815.61,12.0642848625249,7.6,35.66,0.11,99.3,98.63,6.67,97,98.5,97,26.88,39.36,132.92,44.13
"Qatar","Asia",77.58,2006,85.14,97.75,61593.67,9.20447118192726,0.9,0,0.01,99.8,103.11,2.17,96,98.7,99,15.91,23.6,95.06,28.97
"Afghanistan","Asia",59.11,2009,41.67,24.31,458.96,9.41148286521517,8.1,2.07,0.29,46.2,116.51,1.79,63,28.7,60,74.98,0.02,37.89,3.55
"Chad","Africa",48.03,2006,8.28,21.83,712.05,8.61081831594838,7.1,4.78,0.43,47.7,103.87,1.13,40,10.8,39,69.69,0.19,4.5,0.58
"Angola","Africa",48,2004,13.87,35.41,1361.74,9.19022235494989,6.9,47.51,0.19,45.9,93.47,2.45,47,37.6,64,42.32,0.59,4.63,0.46
"Qatar","Asia",77.85,2008,119.63,98.26,82990.07,9.78516168207159,0.3,0,0.01,100,108.12,1.57,97,98.5,96,16.02,19.56,105.18,44.3
"Madagascar","Africa",64.25,2012,38.32,33.2,444.96,9.07421590595523,3.6,21.52,0.16,48.7,127.86,1.69,70,11.6,61,39.66,1.09,39.38,2.3
"Burundi","Africa",53.63,2012,394.26,11.19,244.2,7.5376644257375,7,10.21,0.11,75.3,98.16,4.93,96,47.5,93,21.92,0.18,22.81,1.22
"Burundi","Africa",51.56,2008,343.53,10.12,182.69,7.05113674990996,7.2,8.73,0.1,74.1,105.68,3.36,92,46.4,84,37.46,0.35,5.57,0.81
"France","Europe",81.97,2012,119.88,78.82,40850.35,14.2160714198922,9.9,30.41,0.28,100,100.51,8.98,99,98.7,90,7.46,62.11,97.38,81.44
"Maldives","Asia",69.46,2000,934.61,27.71,2226.72,5.32471584040257,10.8,3.33,0.01,95.2,89.4,4.07,98,79.4,99,23.11,8.96,2.8,2.2
"India","Asia",66.21,2012,424.99,31.63,1449.66,13.8951517727426,3.6,23.59,0.12,92.2,134.07,1.16,82,37.5,83,60.65,2.5,69.92,12.58
"Mali","Africa",54.6,2012,13.2,37.58,641.79,8.79266957660954,8.1,4.06,0.43,70.9,153.77,2.25,68,23.3,75,60.91,0.75,98.38,2.8
"Spain","Europe",82.43,2012,93.51,78.9,28647.84,13.5741237813543,25.2,36.62,0.27,100,92.29,6.67,97,99.9,97,21.81,41.87,108.36,69.81
"Ecuador","South America",75.18,2008,58.17,62.3,4274.94,10.5451114122545,6,52.74,0.09,83.9,111.54,1.63,96,78.5,98,54.89,13.14,80.51,18.8
"Honduras","North America",70.89,2002,58.08,46.59,1196.56,8.64827583830869,3.9,54.98,0.16,82.3,81.1,3.91,95,66.2,97,44.46,4.96,5.03,2.6
"Vietnam","Asia",74.47,2004,262.64,26.68,606.9,10.5068434958728,2.1,41.3,0.08,83.1,96.42,1.39,96,59.7,97,66.54,12.03,5.89,7.64
"Bhutan","Asia",67.89,2012,19.51,36.37,2452.15,6.52038545914306,2.1,71.49,0.13,98,100.31,2.65,97,49.4,95,25.85,3.64,75.61,24
"Romania","Europe",74.46,2012,87.2,54.09,8577.29,11.5947972066331,7,28.93,0.44,99,87.36,4.46,91,78.3,94,19.14,21.37,104.99,45.88
"Jamaica","North America",71.76,2006,244.97,53,4487.5,9.13847695584392,9.6,31.28,0.05,93.6,101,2.31,95,81.2,87,28.85,12.71,84.36,16.4
"Yemen, Rep.","Asia",61.74,2006,39.95,29.49,904.61,9.49146222315414,15.7,1.04,0.07,55.7,105.78,1.52,85,48.8,68,63.26,4.69,14.41,1.25
"Uganda","Africa",53.79,2006,145.14,13.31,342.84,8.95419443358213,3.6,16.48,0.21,66.1,100.06,2.7,64,17,75,55.99,0.36,6.76,2.53
"Albania","Europe",75.16,2002,111.35,43.5,1453.64,8.11840375137016,13.4,28.27,0.19,96.1,90.03,2.26,98,85,96,65.08,6.74,26.08,0.39
"Pakistan","Asia",64.16,2001,183.27,33.45,511.81,10.9178930730744,7.4,2.69,0.22,88.7,86.63,0.59,65,38.7,61,62.09,2.21,0.51,1.32
"France","Europe",81.97,2013,120.4,79.06,42627.65,14.2610077358843,10.4,30.61,0.28,100,98.64,9.04,99,98.7,89,7.4,60.79,98.5,81.92
"Oman","Asia",76.85,2013,12.62,76.7,20011.35,10.0740148294474,7.3,0.01,0.01,93.3,123.68,2.08,98,96.7,99,12.26,9.67,154.65,66.45
"Thailand","Asia",74.37,2013,132.03,47.94,6229.17,12.3150805812567,0.7,31.98,0.25,97.5,128.49,3.66,99,93.1,99,11.27,9.04,140.05,28.94
"Bhutan","Asia",68.3,2013,19.8,37.14,2383.04,6.95869551105052,2.9,71.75,0.13,99.1,97.13,2.65,97,49.7,94,25.41,3.51,72.2,29.9
"Gabon","Africa",62.69,2011,6.12,86.05,11530.15,8.52011890733244,20.4,86.16,0.21,91.6,116.45,1.84,75,41.2,72,40.62,1.41,148.69,8
"Congo, Dem. Rep.","Africa",49.94,2013,32,41.46,413.7,9.98302351645212,8.2,67.58,0.1,51.8,117.1,1.86,74,27.9,76,32.7,0,41.82,2.2
"Botswana","Africa",46.67,2011,3.69,56.47,7504.85,8.98596481205093,17.8,19.85,0.16,96,142.72,3.24,95,61.5,97,4.85,7.53,145.98,8
"United Kingdom","Europe",80.96,2013,264.98,82.09,42309.04,14.3828487654001,7.5,12.85,0.1,100,100.2,7.62,95,99.2,93,9.29,52.88,124.61,89.84
"Bahrain","Asia",76.4,2011,1702.76,88.58,22238.71,9.32766730363295,4,0.7,0,100,165.53,2.68,99,99.2,99,18,21.39,131.01,77
"Gambia, The","Africa",58.83,2013,184.47,58.37,484.11,6.58597853275953,7,47.91,0.24,90.1,97.36,3.57,97,58.8,96,21.05,3.47,99.98,14
"Chad","Africa",51.16,2013,10.44,22.23,985.1,9.08817951764001,7.1,4.07,0.37,50.8,120.13,1.31,48,12,59,61.02,0.24,35.56,2.3
"Luxembourg","Europe",79.43,2005,179.6,86.6,79494.21,9.51482498773388,4.5,33.47,0.13,100,99.5,6.75,99,97.7,95,11.59,53.4,111.39,70
"Philippines","Asia",68.23,2010,312.03,45.26,2145.24,11.8692574701122,7.3,22.94,0.06,90.1,112.56,1.57,79,70.5,80,52.51,3.57,88.98,25
"Mauritania","Africa",59.67,2000,2.63,49.24,477.11,6.87090455518412,32.4,0.31,0.18,42,88.94,2.76,51,23.7,46,44.88,0.7,0.56,0.19
"Equatorial Guinea","Africa",52.08,2011,26.77,39.34,22944.93,7.92584418891733,6.9,57.55,0.16,47.6,113.5,2.6,33,75.4,51,17.95,2.03,66.88,11.5
"Bhutan","Asia",60.29,2000,14.18,25.42,778.39,5.4752913170154,1.7,65.48,0.19,83.9,68.57,5.33,92,31,78,20.74,2.51,0,0.4
"Spain","Europe",79.62,2003,84.51,76.78,21495.71,13.1666113748686,11.5,34.37,0.31,100,110.67,5.73,98,99.9,98,22.99,42.27,88.59,39.93
"Spain","Europe",79.57,2002,83.02,76.53,17019.54,12.9300861711831,11.6,34.26,0.31,99.9,100.14,5.17,98,99.9,97,23.72,42.67,81.1,20.39
"Spain","Europe",79.37,2001,81.75,76.34,15359.11,12.8229570571052,10.7,34.18,0.32,99.9,101.15,5.16,96,99.9,96,23.93,43.01,72.76,18.15
"Austria","Europe",78.58,2001,97.39,65.8,24489.74,11.5788070213321,3.6,46.51,0.17,100,100.7,7.58,84,100,79,15.91,49.66,81.26,39.19
"Thailand","Asia",71.64,2003,126.87,35.01,2349.38,11.3694799465514,1.5,32.23,0.23,93.3,104.01,2.28,98,92.5,96,26.85,10.28,33.52,9.3
"Rwanda","Africa",58.65,2007,384.32,21.09,398.21,7.92853935062577,0.6,16.6,0.12,71.1,106.87,5.18,97,54.3,94,21.6,0.23,6.4,2.12
"Equatorial Guinea","Africa",47.84,2001,19.57,38.8,2661.42,6.58977893389676,6.3,61.73,0.24,47.3,90.22,1.34,35,79.7,51,18.59,1.29,2.81,0.17
"Netherlands","Europe",80.25,2008,487.13,85.4,56928.82,12.9542055674969,2.8,10.95,0.06,100,105.34,8.67,97,97.8,96,6.17,44.34,124.98,87.42
"Netherlands","Europe",80.1,2007,485.24,84.54,51241.32,12.8561518737939,3.2,10.91,0.06,100,103.07,8.42,96,97.9,96,6.05,45.03,117.29,85.82
"Albania","Europe",76.46,2007,108.39,48.9,3603.01,9.02815280620503,13.5,28.47,0.19,95.9,103.52,2.63,98,88.9,97,52.48,9.48,73.35,15.04
"Sri Lanka","Asia",73.43,2004,309.92,18.39,1063.16,9.59270742883837,8.4,34.01,0.05,84.2,93.12,1.96,97,85.4,96,44.47,5.02,11.2,1.45
"Liberia","Africa",58.11,2008,38.13,47.09,231.44,7.59633705391915,5.1,45.57,0.12,69.4,116.64,3.9,75,15.1,76,35,0.05,23.27,0.53
"Central African Republic","Africa",44.57,2004,6.4,37.97,318.48,7.01903722829616,7,35.86,0.48,64.3,98.42,1.88,51,18.5,55,50.56,0.26,1.54,0.22
"Kuwait","Asia",73.82,2006,134.09,98.2,42498.74,10.2754313814834,1.3,0.32,0,99,103.24,1.83,99,100,99,16.86,21.39,48.79,28.79
"Jamaica","North America",73.28,2012,250.03,54.13,5445.89,9.44212329620368,13.7,31.06,0.04,93.8,106.51,3.27,96,81.7,93,25.08,9.14,98.05,33.79
"Cote d'Ivoire","Africa",48.79,2008,60.57,49.03,1257.68,9.71393048243478,4.1,32.72,0.15,80.1,108.1,1.58,74,20.2,63,60.7,1.95,57.22,1.9
"Swaziland","Africa",47.89,2009,68.23,21.57,2679.67,7.97617636548602,22.9,32.48,0.15,68.5,101.62,5.77,88,56,94,13.83,3.85,56.61,8.94
"Ecuador","South America",75.4,2009,59.15,62.5,4255.56,10.5690911165033,6.5,52.43,0.08,84.4,115.9,2.2,94,79.6,97,49.29,13.64,89.74,24.6
"Netherlands","Europe",78.49,2003,480.61,80.34,35245.16,12.5544258093069,3.6,10.75,0.06,100,95.29,5.98,98,98,95,7.32,48.63,81.82,64.35
"Portugal","Europe",76.81,2001,113.25,55.04,11729.15,11.2409669929301,4,36.43,0.15,98.1,96.27,6.2,97,96.5,90,24.07,42.37,77.07,18.09
"Oman","Asia",74.77,2006,8.25,72.97,14575.16,9.31083888724235,7.8,0.01,0.01,88.6,95.65,1.89,98,94.2,96,11.61,10.56,71.16,8.3
"Albania","Europe",76.29,2006,109.22,47.82,3005.01,8.80942091671587,12.4,28.51,0.2,96,102.24,2.58,97,88.1,95,51.83,8.05,60.07,9.61
"Madagascar","Africa",60.73,2004,30.55,28.21,245.67,8.21304292625715,3.8,22.14,0.17,41.2,92.49,2.38,78,10.6,79,39.59,0.33,1.88,0.53
"Tunisia","Africa",74,2012,69.37,66.27,4187.54,10.3081269865359,14,6.5,0.26,96.9,118.02,4.16,97,90.3,96,35.51,10.1,118.11,41.44
"Russian Federation","Europe",65.49,2001,8.91,73.35,2100.36,11.918710455244,9,49.4,0.85,95,94.29,3.33,96,72.4,98,30.48,22.77,5.3,2.94
"Russian Federation","Europe",65.42,2004,8.79,73.42,4102.37,12.5939114863517,7.8,49.38,0.85,95.5,98.3,3.09,97,72.4,98,33.24,26.67,51.08,12.86
"Russian Federation","Europe",65.01,2003,8.83,73.37,2975.13,12.2762624337597,8.2,49.39,0.85,95.3,93.84,3.3,97,72.4,98,32.83,24.92,24.94,8.3
"Colombia","South America",73.78,2012,42.25,75.6,7885.06,12.3301194891833,10.6,52.8,0.03,91.2,110.7,5.17,91,80.2,94,14.76,14.81,102.85,48.98
"Morocco","Africa",70.87,2013,74.96,59.2,3156.18,11.0713906460824,9.2,12.66,0.24,85.1,133.55,2.04,99,76.5,99,58.36,8.86,128.53,56
"Benin","Africa",59.29,2013,91.54,43.09,882.64,8.74941223557887,1,39.12,0.26,77,151.6,2.47,69,19,63,40.86,1.54,93.26,4.9
"Guinea","Africa",56.09,2013,48.63,36.21,521.54,8.75235858987776,1.7,26.19,0.26,75.7,123.52,1.68,63,19.4,62,56.44,0,63.32,1.6
"Timor-Leste","Asia",66.49,2011,75.35,30.17,1015.72,6.63594655568665,3.7,49.15,0.13,69.7,113.79,0.66,67,39.5,62,7.82,0.28,56.02,0.9
"Netherlands","Europe",79.35,2005,483.41,82.63,41577.16,12.6958932402046,4.7,10.81,0.07,100,99.41,7.04,98,97.9,96,7.54,46.62,97.13,81
"Jamaica","North America",73.47,2013,250.67,54.34,5226.09,9.4014449118713,15,31.02,0.04,93.8,106.08,3.38,93,81.8,94,24.99,8.99,102.24,37.1
"Trinidad and Tobago","North America",69.6,2010,258.89,9.09,15840.41,9.21564328663745,5.9,44.13,0.02,95,95.98,2.93,90,91.4,92,35.45,22.09,142.63,48.5
"Cote d'Ivoire","Africa",49.68,2010,63.31,50.56,1236.09,9.72270940407454,4.1,32.71,0.14,80.7,110,1.82,85,20.9,70,56.48,1.49,82.2,2.7
"Netherlands","Europe",80.7,2010,492.6,87.06,50341.25,12.8325067556664,4.5,11.06,0.06,100,112.27,9.64,97,97.8,96,5.3,43.53,115.43,90.72
"Spain","Europe",80.17,2005,87.47,77.26,26510.72,13.4111963872735,9.3,34.63,0.3,100,95.7,5.88,96,99.9,97,22.13,44.85,98.4,47.88
"Uganda","Africa",48.11,2000,118.9,12.08,260.68,8.47578143969005,2.8,19.36,0.22,56.4,86.1,1.96,52,15.6,57,37.75,0.25,0.52,0.16
"Solomon Islands","Oceania",65.55,2005,16.77,17.83,881.96,5.6792848430558,3.6,80.06,0.03,80,102.92,7.37,89,26.8,87,3.36,1.58,1.28,0.84
"Montenegro","Europe",74.42,2010,46.05,63.1,6682.28,8.12770871017447,19.7,61.49,0.28,98.9,90.22,4.17,94,93.5,90,39.53,27.51,188.69,37.5
"Angola","Africa",45.2,2000,12.08,32.42,606.27,7.40109083941347,6.9,47.91,0.2,45.7,62.52,1.68,31,32.1,41,36.07,0.47,0.19,0.11
